,job_id,title,rating,company,reviews,salary,location,skills,from_date,min_experience
1768,1768,Genomics Application Specialist  (GASp)  -(Sequencing & Consumables),3.0,Xcelris,12,0,New Delhi,"('Help Desk', 'data analysis', 'customer relationship', 'Customer', 'access controls', 'Telephony support', 'Vendor Management', 'Information')",30+ Days,0
1769,1769,Crunch Technical Customer Support Engineer,0.0,Crunch Data,0,0,Mumbai,"('Product management', 'Computer science', 'Data analysis', 'Debugging', 'Market research', 'Customer support', 'Customer service', 'SPSS')",30+ Days,0
1770,1770,Associate,2.4,Renalysis Consultants,7,0,"Bhubaneswar, Pune, Ahmedabad","('Market analysis', 'Data analysis', 'CSR', 'Project management', 'Pharma', 'Consulting', 'Strategic planning', 'Project planning')",30+ Days,0
1771,1771,Backend Officer - Operations,0.0,Kshatriyas Business Services,0,0,Meerut,"('Business services', 'Backend', 'Excel', 'VLOOKUP', 'M&A', 'Advanced Excel', 'MIS preparation', 'Stock market')",30+ Days,0
1772,1772,General Admin / Admin assistance,1.8,Epoch Research Institute,9,0,Ahmedabad,"('Accountancy', 'Administrative assistance', 'Administration', 'Data analysis', 'General administration', 'SAS', 'Data management', 'Staffing')",30+ Days,0
1773,1773,Developer Interns,0.0,Compunet Connections,0,0,Chennai,"('Supply chain', 'CATIA', 'Data analysis', 'Automation', 'Analytical', 'CAD', 'thermal', 'Packaging')",30+ Days,0
1774,1774,Intern,1.1,GCV Life,2,0,Mumbai,"('Valuation analysis', 'Data analysis', 'Transaction advisory', 'Intern', 'Business research', 'Healthcare', 'Market research', 'Investment banking')",30+ Days,0
1775,1775,Research Assistant,0.0,Neerman,0,0,"Mumbai, New Delhi","('Data analysis', 'Publishing', 'Analytical', 'Data processing', 'Data quality', 'HTTP', 'Gap analysis', 'Monitoring')",30+ Days,0
1776,1776,IT Recruiter,4.5,XLIT Solutions,6,0,Mumbai,"('Training', '', 'hiring IT', 'recruitment', 'Hiring', 'IT recruitment', 'IT Hiring')",30+ Days,0
1777,1777,Email Developer - Marketing Dice,0.0,Marketing Dice,0,0,Pune,"('Analytical skills', 'Proposal writing', 'Data analysis', 'Wordpress', 'Consulting', 'Client coordination', 'Consultancy', 'Research')",30+ Days,0
